Date of Publication,Year,1 Person,2 Persons,3 Persons,4 Persons,5 Persons,6 Persons,7 Persons,8 Persons,$ For Each Additional Person (9+),,Documentation,HTML Link
January 2024,2024,18810.00,25540.00,32270.00,39000.00,45730.00,52460.00,59190.00,65920.00,6730.00,,"2024 Vol. 89, No. 11, January 17, 2024, pp. 2961-2963",https://www.govinfo.gov/content/pkg/FR-2024-01-17/pdf/2024-00796.pdf
January 2023,2023,18210.00,24640.00,31070.00,37500.00,43930.00,50360.00,56790.00,63220.00,6430.00,,"2023 Vol. 88, No. 12, January 19, 2023, pp. 3424-3425",https://www.govinfo.gov/content/pkg/FR-2023-01-19/pdf/2023-00885.pdf
January 2022,2022,16990.00,22890.00,28790.00,34690.00,40590.00,46490.00,52390.00,58290.00,5900.00,,"2022 Vol. 87, No. 14, January 21, 2022, pp. 3315-3316",https://www.govinfo.gov/content/pkg/FR-2022-01-21/pdf/2022-01166.pdf
February 2021,2021,16090.00,21770.00,27450.00,33130.00,38810.00,44490.00,50170.00,55850.00,5680.00,,"2021 Vol. 86, No. 19, February 1, 2021, pp. 7732-7734",https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-01969.pdf
January 2020,2020,15950.00,21550.00,27150.00,32750.00,38350.00,43950.00,49550.00,55150.00,5600.00,,"2020 Vol. 85, No. 12, January 17, 2020, pp. 3060-3061",https://www.govinfo.gov/content/pkg/FR-2020-01-17/pdf/2020-00858.pdf
January 2019,2019,15600.00,21130.00,26660.00,32190.00,37720.00,43250.00,48780.00,54310.00,5530.00,,"2019 Vol. 84, No. 22, February 1, 2019, pp. 1167-1168",https://www.govinfo.gov/content/pkg/FR-2019-02-01/pdf/2019-00621.pdf
January 2018,2018,15180.00,20580.00,25980.00,31380.00,36780.00,42180.00,47580.00,52980.00,5400.00,,"2018 Vol. 83, No. 12, January 18, 2018, pp. 2642-2644",https://www.govinfo.gov/content/pkg/FR-2018-01-18/pdf/2018-00814.pdf
January 2017,2017,15060.00,20290.00,25520.00,30750.00,35980.00,41210.00,46440.00,51670.00,5230.00,,"2017 Vol. 82, No. 19, January 31, 2017, pp. 8831-8832",https://www.govinfo.gov/content/pkg/FR-2017-01-31/pdf/2017-02076.pdf
January 2016,2016,14840.00,20020.00,25200.00,30380.00,35560.00,40740.00,45920.00,51120.00,5200.00,,"2016 Vol. 81, No.15 January 25, 2016, pp. 4036-4037",https://www.govinfo.gov/content/pkg/FR-2019-02-01/pdf/2019-00621.pdf
January 2015,2015,14720.00,19920.00,25120.00,30320.00,35520.00,40720.00,45920.00,51120.00,5200.00,,"2015 Vol. 80, No. 14, January 22, 2015, pp. 3236-3237",https://www.govinfo.gov/content/pkg/FR-2015-01-22/pdf/2015-01120.pdf
January 2014,2014,14580.00,19660.00,24740.00,29820.00,34900.00,39980.00,45060.00,50140.00,5080.00,,"2014 Vol. 79, No. 14, January 22, 2014, pp. 3593-3594",https://www.govinfo.gov/content/pkg/FR-2014-01-22/pdf/FR-2014-01-22.pdf
January 2013,2013,14350.00,19380.00,24410.00,29440.00,34470.00,39500.00,44530.00,49560.00,5030.00,,"2013 Vol. 78, No. 16, January 24, 2013, pp. 5182-5183",https://www.govinfo.gov/content/pkg/FR-2013-01-24/pdf/2013-01422.pdf
January 2012,2012,13970.00,18920.00,23870.00,28820.00,33770.00,38720.00,43670.00,48620.00,4950.00,,"2012 Vol. 77, No. 17, January 26, 2012, pp. 4034-4035",https://www.govinfo.gov/content/pkg/FR-2012-01-26/pdf/2012-1603.pdf
January 2011,2011,13600.00,18380.00,23160.00,27940.00,32720.00,37500.00,42280.00,47060.00,4780.00,,"2011 Vol. 76, No. 13, January 20, 2011, pp. 3637-3638",https://www.govinfo.gov/content/pkg/FR-2011-01-20/pdf/2011-1237.pdf
January 2010,2010,13530.00,18210.00,22890.00,27570.00,32250.00,36930.00,41610.00,46290.00,4680.00,,"2010 (Delayed update) Vol. 75, No. 148, August 3, 2010, pp. 45628-45629",https://www.govinfo.gov/content/pkg/FR-2010-08-03/pdf/2010-19129.pdf
January 2009,2009,13530.00,18210.00,22890.00,27570.00,32250.00,36930.00,41610.00,46290.00,4680.00,,"2009 Vol. 74, No. 14, January 23, 2009, pp. 4199-4201",https://www.govinfo.gov/content/pkg/FR-2009-06-19/pdf/E9-14491.pdf
January 2008,2008,13000.00,17500.00,22000.00,26500.00,31000.00,35500.00,40000.00,44500.00,4500.00,,"2008 Vol. 73, No. 15, January 23, 2008, pp. 3971-3972",https://www.govinfo.gov/content/pkg/FR-2008-01-23/pdf/08-256.pdf
January 2007,2007,12770.00,17120.00,21470.00,25820.00,30170.00,34520.00,38870.00,43220.00,4350.00,,"2007 Vol. 72, No. 15, January 24, 2007, pp. 3147-3148",https://www.govinfo.gov/content/pkg/FR-2007-10-05/pdf/E7-19747.pdf
January 2006,2006,12250.00,16500.00,20750.00,25000.00,29250.00,33500.00,37750.00,42000.00,4250.00,,"2006 Vol. 71, No. 15, January 24, 2006, pp. 3848-3849",https://www.govinfo.gov/content/pkg/FR-2006-01-24/pdf/06-624.pdf
February 2005,2005,11950.00,16030.00,20110.00,24190.00,28270.00,32350.00,36430.00,40510.00,4080.00,,"2005 Vol. 70, No. 33, February 18, 2005, pp. 8373-8375",https://www.govinfo.gov/content/pkg/FR-2005-02-18/pdf/05-3144.pdf
February 2004,2004,11630.00,15610.00,19590.00,23570.00,27550.00,31530.00,35510.00,39490.00,3980.00,,"2004 Vol. 69, No. 30, February 13, 2004, pp. 7336-7338",https://www.govinfo.gov/content/pkg/FR-2004-02-13/pdf/04-3329.pdf
February 2003,2003,11210.00,15140.00,19070.00,23000.00,26930.00,30860.00,34790.00,38720.00,3930.00,,"2003 Vol. 68, No. 26, February 7, 2003, pp. 6456-6458",https://www.govinfo.gov/content/pkg/FR-2003-02-07/pdf/03-3018.pdf
February 2002,2002,11080.00,14930.00,18780.00,22630.00,26480.00,30330.00,34180.00,38030.00,3850.00,,"2002 Vol. 67, No. 31, February 14, 2002, pp. 6931-6933",https://www.govinfo.gov/content/pkg/FR-2002-02-14/pdf/02-3627.pdf
February 2001,2001,10730.00,14510.00,18290.00,22070.00,25850.00,29630.00,33410.00,37190.00,3780.00,,"2001 Vol. 66, No. 33, February 16, 2001, pp. 10695-10697",https://www.govinfo.gov/content/pkg/FR-2001-02-16/pdf/01-4036.pdf
February 2000,2000,10430.00,14060.00,17690.00,21320.00,24950.00,28580.00,32210.00,35840.00,3630.00,,"2000 Vol. 65, No. 31, February 15, 2000, pp. 7555-7557",https://www.govinfo.gov/content/pkg/FR-2000-02-15/pdf/00-3478.pdf
March 1999,1999,10320.00,13840.00,17360.00,20880.00,24400.00,27920.00,31440.00,34960.00,3520.00,,"1999 Vol. 64, No. 52, March 18, 1999, pp. 13428-13430",https://www.govinfo.gov/content/pkg/FR-1999-03-18/pdf/99-6538.pdf
February 1998,1998,10070.00,13570.00,17070.00,20570.00,24070.00,27570.00,31070.00,34570.00,3500.00,,"1998 Vol. 63, No. 36, February 24, 1998, pp. 9235-9238",https://www.govinfo.gov/content/pkg/FR-1998-02-24/pdf/98-4566.pdf
March 1997,1997,9870.00,13270.00,16670.00,20070.00,23470.00,26870.00,30270.00,33670.00,3400.00,,"1997 Vol. 62, No. 46, March 10, 1997, pp. 10856-10859",https://www.govinfo.gov/content/pkg/FR-1997-03-10/pdf/97-5731.pdf
March 1996,1996,9660.00,12940.00,16220.00,19500.00,22780.00,26060.00,29340.00,32620.00,3280.00,,"1996 Vol. 61, No. 43, March 4, 1996, pp. 8286-8288",https://www.govinfo.gov/content/pkg/FR-1996-03-04/pdf/96-4915.pdf
February 1995,1995,9340.00,12540.00,15740.00,18940.00,22140.00,25340.00,28540.00,31740.00,3200.00,,"1995 Vol. 60, No. 27, February 9, 1995, pp. 7772-7774",https://www.govinfo.gov/content/pkg/FR-1995-02-09/pdf/95-3285.pdf
February 1994,1994,9200.00,12300.00,15400.00,18500.00,21600.00,24700.00,27800.00,30900.00,3100.00,,"1994 Vol. 59, No. 28, February 10, 1994, pp. 6277-6278",https://www.govinfo.gov/content/pkg/FR-1994-02-10/html/94-3229.htm
February 1993,1993,8700.00,11780.00,14860.00,17940.00,21020.00,24100.00,27180.00,30260.00,3080.00,,"1993 Vol. 58, No. 28, February 12, 1993, pp. 8287-8289",https://tile.loc.gov/storage-services/service/ll/fedreg/fr058/fr058028/fr058028.pdf
February 1992,1992,8500.00,11480.00,14460.00,17440.00,20420.00,23400.00,26380.00,29360.00,2980.00,,"1992 Vol. 57, No. 31, February 14, 1992, pp. 5455-5457",https://tile.loc.gov/storage-services/service/ll/fedreg/fr057/fr057031/fr057031.pdf
February 1991,1991,8290.00,11110.00,13930.00,16750.00,19570.00,22390.00,25210.00,28030.00,2820.00,,"1991 Vol. 56, No. 34, February 20, 1991, pp. 6589-6861",https://www.govinfo.gov/content/pkg/FR-1991-02-20/pdf/FR-1991-02-20.pdf
February 1990,1990,7840.00,10520.00,13200.00,15880.00,18560.00,21240.00,23920.00,26600.00,2680.00,,"1990 Vol. 55, No. 33, February 16, 1990, pp. 5664-5666",https://www.govinfo.gov/content/pkg/FR-1990-02-16/pdf/FR-1990-02-16.pdf
February 1989,1989,7480.00,10030.00,12580.00,15130.00,17680.00,20230.00,22780.00,25330.00,2550.00,,"1989 Vol. 54, No. 31, February 16, 1989, pp. 7097-7098",https://www.govinfo.gov/content/pkg/FR-1989-02-16/pdf/FR-1989-02-16.pdf
February 1988,1988,7210.00,9660.00,12110.00,14560.00,17010.00,19460.00,21910.00,24360.00,2450.00,,"1988 Vol. 53, No. 29, February 12, 1988, pp. 4213-4214",https://www.govinfo.gov/content/pkg/FR-1988-02-12/pdf/FR-1988-02-12.pdf
February 1987,1987,6860.00,9240.00,11620.00,14000.00,16380.00,18760.00,21140.00,23520.00,2380.00,,"1987 Vol. 52, No. 34, February 20, 1987, pp. 5340-5341",https://www.govinfo.gov/content/pkg/FR-1987-02-20/pdf/FR-1987-02-20.pdf
February 1986,1986,6700.00,9050.00,11400.00,13750.00,16100.00,18450.00,20800.00,23150.00,2350.00,,"1986 Vol. 51, No. 28, February 11, 1986, pp. 5105-5106", https://www.govinfo.gov/content/pkg/FR-1986-02-11/pdf/FR-1986-02-11.pdf
March 1985,1985,6560.00,8810.00,11060.00,13310.00,15560.00,17810.00,20060.00,22310.00,2250.00,,"1985 Vol. 50, No. 46, March 8, 1985, pp. 9517-9518 2",https://www.govinfo.gov/content/pkg/FR-1985-03-08/pdf/FR-1985-03-08.pdf
February 1984,1984,6240.00,8410.00,10580.00,12750.00,14920.00,17090.00,19260.00,21430.00,2170.00,,"1984 Vol. 49, No. 39, February 27, 1984, pp. 7151-7152",https://www.govinfo.gov/content/pkg/FR-1984-02-27/pdf/FR-1984-02-27.pdf
February 1983,1983,6060.00,8160.00,10260.00,12360.00,14460.00,16560.00,18660.00,20760.00,2100.00,,"1983 Vol. 48, No. 34, February 17, 1983, pp. 7010-7011",https://www.govinfo.gov/content/pkg/FR-1983-02-17/pdf/FR-1983-02-17.pdf
April 1982,1982,5870.00,7790.00,9710.00,11630.00,13550.00,15470.00,17390.00,19310.00,1920.00,,"1982 Vol. 47, No. 69, April 9, 1982, pp. 15417-15418",https://www.govinfo.gov/content/pkg/FR-1982-04-09/pdf/FR-1982-04-09.pdf
March 1981,1981,5410.00,7130.00,8850.00,10570.00,12290.00,14010.00,15730.00,17450.00,1720.00,,"1981 Vol. 46, No. 43, March 5, 1981, pp. 15270-15273",https://www.govinfo.gov/content/pkg/FR-1981-03-05/pdf/FR-1981-03-05.pdf
April 1980,1980,4760.00,6280.00,7800.00,9320.00,10840.00,12360.00,13880.00,15400.00,1520.00,,"1980 Vol. 45, No. 78, April 21, 1980, 26713-26714",https://www.govinfo.gov/content/pkg/FR-1980-04-21/pdf/FR-1980-04-21.pdf
May 1979,1979,4270.00,5640.00,7010.00,8380.00,9750.00,11120.00,12490.00,13860.00,1370.00,,"1979 Vol. 44, No 89, May 7, 1979, pp. 26745-26746",https://www.govinfo.gov/content/pkg/FR-1979-05-07/pdf/FR-1979-05-07.pdf
April 1978,1978,3940.00,5210.00,6480.00,7750.00,9020.00,10290.00,11560.00,12830.00,1270.00,,"1978 Vol. 43, No. 66, April 5, 1978, pp. 14316-14318",https://www.govinfo.gov/content/pkg/FR-1978-04-05/pdf/FR-1978-04-05.pdf
April 1977,1977,3720.00,4920.00,6120.00,7320.00,8520.00,9720.00,10920.00,12120.00,1200.00,,"1977 Vol. 42, No. 79, April 25, 1977, pp. 1108-1109.",https://www.govinfo.gov/content/pkg/FR-1977-04-25/pdf/FR-1977-04-25.pdf
April 1976,1976,3520.00,4640.00,5760.00,6880.00,8000.00,9120.00,10240.00,11360.00,1120.00,,"1976 Vol. 41, No. 66, April 5, 1976, pp. 14370-14371",https://www.govinfo.gov/content/pkg/FR-1976-04-05/pdf/FR-1976-04-05.pdf
March 1975,1975,3250.00,4270.00,5290.00,6310.00,7330.00,8350.00,9370.00,10390.00,1020.00,,Documents from the Office of Economic Opportunity,N/A
May 1974,1974,2910.00,3840.00,4760.00,5690.00,6610.00,7540.00,8460.00,9380.00,920.00,,"1974 Vol. 39, NO 100, May 22, 2974, pp. 17969-17979",https://www.govinfo.gov/content/pkg/FR-1974-05-22/pdf/FR-1974-05-22.pdf
March 1973,1973,2750.00,3620.00,4500.00,5380.00,6250.00,7120.00,8000.00,8870.00,870.00,,Documents from the Office of Economic Opportunity,N/A
October 1972,1972,2625.00,3425.00,4325.00,5250.00,6175.00,6950.00,7750.00,8550.00,800.00,,Documents from the Office of Economic Opportunity,N/A
Jan-72,1971,2500.00,3250.00,4150.00,5000.00,5900.00,6650.00,7400.00,8150.00,750.00,,"1972 Vol. 37, No. 7, Jan 12, 1972",https://www.govinfo.gov/content/pkg/FR-1972-01-12/pdf/FR-1972-01-12.pdf
December 1970,1970,2400.00,3150.00,3900.00,4750.00,5500.00,6250.00,7000.00,7750.00,750.00,,Documents from the Office of Economic Opportunity,N/A